"","id","GR19-MIT5","IS19-13","IS19-14","domain","major_clade","kingdom","phylum","class","order","family","genus"
"1","NTU1",0,0,2,"Archaea","Archaea domain","Archaea domain","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae family"
"2","NTU2",0,0,2,"Archaea","Archaea domain","Archaea domain","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","Methanosarcina"
"3","NTU3",0,0,2,"Archaea","Archaea domain","Archaea domain","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales order","Woesearchaeales order"
"4","NTU4",0,4,0,"Bacteria","Bacteria domain","Bacteria domain","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"5","NTU5",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acetothermia","Acetothermiia","Acetothermiia class","Acetothermiia class","Acetothermiia class"
"6","NTU6",2,0,1,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila-Silvibacterium"
"7","NTU7",0,0,1,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila-Silvibacterium"
"8","NTU8",39,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter"
"9","NTU9",18,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter"
"10","NTU10",21,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter"
"11","NTU11",66,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"12","NTU12",8,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"13","NTU13",127,8,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"14","NTU14",12,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"15","NTU15",90,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"16","NTU16",16,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"17","NTU17",10,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"18","NTU18",149,12,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"19","NTU19",872,5,3,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"20","NTU20",20,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"21","NTU21",1306,71,17,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"22","NTU22",193,16,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"23","NTU23",12,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter"
"24","NTU24",71,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter"
"25","NTU25",7,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus"
"26","NTU26",14,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus"
"27","NTU27",256,4,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus"
"28","NTU28",58,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus"
"29","NTU29",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus"
"30","NTU30",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus"
"31","NTU31",53,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidobacteriaceae (Subgroup 1) family"
"32","NTU32",27,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidobacteriaceae (Subgroup 1) family"
"33","NTU33",7,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter"
"34","NTU34",31,0,6,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriales order","Acidobacteriales order"
"35","NTU35",0,0,82,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"36","NTU36",16,18,110,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"37","NTU37",11,3,20,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"38","NTU38",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"39","NTU39",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"40","NTU40",53,15,75,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"41","NTU41",0,0,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"42","NTU42",0,0,1,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"43","NTU43",0,4,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","GOUTB8","GOUTB8 order","GOUTB8 order"
"44","NTU44",0,0,24,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriae class","Acidobacteriae class","Paludibaculum"
"45","NTU45",0,0,6,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriae class","Acidobacteriae class","Paludibaculum"
"46","NTU46",25,16,100,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriae class","Acidobacteriae class","Paludibaculum"
"47","NTU47",0,0,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"48","NTU48",141,0,7,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"49","NTU49",680,15,56,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"50","NTU50",733,19,70,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"51","NTU51",194,0,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"52","NTU52",0,0,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"53","NTU53",37,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"54","NTU54",2,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Subgroup 15","Subgroup 15 order","Subgroup 15 order"
"55","NTU55",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Subgroup 2","Subgroup 2 order","Subgroup 2 order"
"56","NTU56",0,0,14,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Subgroup 2","Subgroup 2 order","Subgroup 2 order"
"57","NTU57",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03"
"58","NTU58",18,34,20,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03"
"59","NTU59",0,10,8,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Blastocatellia","Chloracidobacteriales","Chloracidobacteriaceae","Chloracidobacterium"
"60","NTU60",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"61","NTU61",25,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"62","NTU62",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"63","NTU63",0,0,10,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Geothrix"
"64","NTU64",0,0,1,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","marine group"
"65","NTU65",14,0,7,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Holophagaceae family"
"66","NTU66",0,0,6,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Holophagaceae family"
"67","NTU67",0,0,13,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Holophagae","Subgroup 7","Subgroup 7 order","Subgroup 7 order"
"68","NTU68",0,0,1,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Holophagae","Subgroup 7","Subgroup 7 order","Subgroup 7 order"
"69","NTU69",14,0,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Holophagae","Subgroup 7","Subgroup 7 order","Subgroup 7 order"
"70","NTU70",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Subgroup 5","Subgroup 5 class","Subgroup 5 class","Subgroup 5 class"
"71","NTU71",7,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"72","NTU72",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Thermoanaerobaculum"
"73","NTU73",8,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Subgroup 9","Subgroup 9 order","Subgroup 9 order"
"74","NTU74",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacterales order","Vicinamibacterales order"
"75","NTU75",8,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacterales order","Vicinamibacterales order"
"76","NTU76",88,17,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacterales order","Vicinamibacterales order"
"77","NTU77",0,9,13,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacterales order","Vicinamibacterales order"
"78","NTU78",12,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea"
"79","NTU79",10,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae family"
"80","NTU80",0,0,10,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae family"
"81","NTU81",7,0,2,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae family"
"82","NTU82",18,4,1,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidithrix"
"83","NTU83",164,0,2,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","IMCC26256","IMCC26256 order","IMCC26256 order"
"84","NTU84",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"85","NTU85",0,0,8,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"86","NTU86",0,0,6,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"87","NTU87",40,4,75,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"88","NTU88",2,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"89","NTU89",24,4,61,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"90","NTU90",0,0,11,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacteraceae family"
"91","NTU91",0,0,8,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichales order","Microtrichales order"
"92","NTU92",1,0,1,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"93","NTU93",0,0,5,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"94","NTU94",0,0,9,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichales order","Microtrichales order"
"95","NTU95",0,0,4,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichales order","Microtrichales order"
"96","NTU96",14,4,29,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichales order","Microtrichales order"
"97","NTU97",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Acidimicrobiia class","Acidimicrobiia class","Acidimicrobiia class"
"98","NTU98",15,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Acidimicrobiia class","Acidimicrobiia class","Acidimicrobiia class"
"99","NTU99",0,0,2,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Acidimicrobiia class","Acidimicrobiia class","Acidimicrobiia class"
"100","NTU100",278,4,50,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Acidimicrobiia","Acidimicrobiia class","Acidimicrobiia class","Acidimicrobiia class"
"101","NTU101",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"102","NTU102",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"103","NTU103",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"104","NTU104",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"105","NTU105",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"106","NTU106",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","F0332"
"107","NTU107",14,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Catenulisporales","Actinospicaceae","Actinospica"
"108","NTU108",2,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"109","NTU109",17,5,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"110","NTU110",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"111","NTU111",16,14,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"112","NTU112",0,0,4,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"113","NTU113",11,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"114","NTU114",39,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriales Incertae Sedis","Tomitella"
"115","NTU115",8,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia"
"116","NTU116",42,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Hoyosella"
"117","NTU117",13,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"118","NTU118",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"119","NTU119",10,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"120","NTU120",16,7,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"121","NTU121",10,4,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"122","NTU122",9,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"123","NTU123",49,95,6,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"124","NTU124",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"125","NTU125",19,9,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"126","NTU126",132,503,22,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"127","NTU127",15,24,1,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"128","NTU128",17,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"129","NTU129",9,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"130","NTU130",0,6,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"131","NTU131",8,5,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"132","NTU132",9,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"133","NTU133",0,13,3,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"134","NTU134",0,7,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"135","NTU135",0,4,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"136","NTU136",0,3,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Millisia"
"137","NTU137",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardiaceae family"
"138","NTU138",36,239,14,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"139","NTU139",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"140","NTU140",25,5,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"141","NTU141",0,11,1,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"142","NTU142",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"143","NTU143",2,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"144","NTU144",13,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"145","NTU145",2,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"146","NTU146",7,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"147","NTU147",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"148","NTU148",33,14,4,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"149","NTU149",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"150","NTU150",0,68,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"151","NTU151",0,4,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"152","NTU152",2845,15369,1121,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"153","NTU153",7,6,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"154","NTU154",5603,44315,3667,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"155","NTU155",0,4,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"156","NTU156",0,11,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"157","NTU157",43,855,55,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"158","NTU158",0,6,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"159","NTU159",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"160","NTU160",44,18,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"161","NTU161",18,23,1,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"162","NTU162",917,3014,200,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"163","NTU163",0,15,1,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"164","NTU164",1,3,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"165","NTU165",0,4,0,"Bacteria","Bacteria domain","Bacteria domain","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
